	786_0	A498	A549_ATCC	ACHN	BT_549	CAKI_1	CCRF_CEM	COLO_205	DU_145	EKVX	HCC_2998	HCT_116	HCT_15	HL_60_TB	HOP_62	HOP_92	HS_578T	HT29	IGROV1	KM12	K_562	LOX_IMVI	M14	MALME_3M	MCF7	MDA_MB_231_ATCC	MDA_MB_435	MDA_N	MOLT_4	NCI_ADR_RES	NCI_H226	NCI_H23	NCI_H322M	NCI_H460	NCI_H522	OVCAR_3	OVCAR_4	OVCAR_5	OVCAR_8	PC_3	RPMI_8226	RXF_393	SF_268	SF_295	SF_539	SK_MEL_2	SK_MEL_28	SK_MEL_5	SK_OV_3	SN12C	SNB_19	SNB_75	SR	SW_620	TK_10	T_47D	U251	UACC_257	UACC_62	UO_31
DENND2D	1.31911	0.511883	0.805501	1.94885	0.502427	1.38093	2.28339	1.81882	1.67136	0.659916	1.81637	1.84689	1.60627	0.782473	1.02735	1.27462	0.466868	2.27916	1.42012	1.74834	0.482874	1.02816	0.264818	0.0334238	2.05572	0.843855	0.588832	0.663701	2.78446	0.810904	1.60874	1.36097	0.856729	0.745855	0.424882	1.69258	1.46389	1.21958	1.23045	1.18526	2.02044	0.984527	0.5302	0.782473	0.281033	1.08135	0.5302	0.340444	1.33102	0.459392	0.40824	0.567026	2.07449	1.60076	1.87737	1.92449	0.643453	1.66106	1.16137	1.60638
FEZF2	0.623249	0.472756	0.298853	0.38739	-0.00877392	0.501059	0.956649	0.942504	0.611723	1.30514	0.369216	0.845098	0.372912	0.220108	0.839478	1.21325	0.123852	0.552668	0.466868	1.24674	0.155336	1.25479	0.161368	0.786041	0.925828	0.596597	0.750508	0.693727	1.05576	0.257679	0.897077	0.485721	0.0791812	0.480007	0.954243	1.12189	1.0976	1.10721	0.91698	1.26174	1.11494	0.495544	-0.00877392	0.723456	0.686636	0.320146	0.646404	0.673021	0.679428	0.324282	0.628389	-0.05061	-0.173925	0.570543	0.605305	0.374748	-0.113509	0.563481	0.526339	0.984077
APOL3	1.3604	1.42439	1.17782	1.43024	1.30728	1.56372	1.86623	0.5302	1.29292	0.501059	1.3189	0.627366	1.07262	0.640481	1.16554	1.3681	1.3995	1.37548	1.78046	0.803457	0.421604	1.09899	0.361728	1.2388	0.841985	1.273	1.20763	0.173186	1.98802	1.10789	1.77225	0.519828	0.514548	1.33122	1.11992	0.733197	1.67089	1.17464	1.41514	0.881385	1.79337	1.51402	0.754348	1.99176	1.1284	0.999565	0.49693	1.23376	1.3753	1.13704	0.656098	1.60649	1.91429	1.23729	1.57449	1.04689	1.24005	1.12937	1.26174	1.47276
IKZF3	1.15503	1.22789	0.972666	1.05881	1.18696	0.487138	0.710117	0.624282	1.07445	0.423246	0.655138	1.12483	1.22814	0.988113	-0.00877392	1.15594	0.83187	0.190332	0.758912	0.583199	0.979093	0.537819	0.892651	0.983175	1.22063	0.969882	0.643453	0.933487	0.740363	1.27921	1.19061	0.378398	0.369216	0.466868	1.2667	0.556303	0.40654	1.2398	1.18921	0.740363	1.3995	0.928908	1.07664	0.947434	1.09726	0.705864	0.252853	1.24155	1.4606	0.555094	0.414973	0.311754	0.871573	0.503791	1.24055	0.676694	0.863323	0.60206	0.836957	1.17435
UTP14A	0.599883	1.04727	0.60206	0.950365	0.720159	0.701568	1.03262	1.08849	0.187521	0.833147	0.746634	0.934498	0.92993	1.03981	0.00432137	0.367356	0.694605	0.803457	0.750508	0.920645	1.01578	1.0465	0.290035	1.06819	1.02572	0.7348	1.05154	1.31471	0.220108	0.344392	1.00732	0.936514	-0.0705811	1.22583	0.710963	1.07846	0.578639	-0.00877392	0.198657	0.859739	1.24353	0.305351	0.975432	1.10037	1.04218	1.26007	0.847573	1.04218	-0.130768	-0.113509	1.06333	0.667453	0.862131	1.18355	-0.119186	0.40654	1.11594	0.808211	1.18298	-0.107905
TRPM6	1.44514	0.624282	1.0461	1.11059	0.352183	0.519828	0.85248	1.12969	1.42062	0.911158	1.47986	1.2667	1.5904	1.27231	0.819544	1.53605	1.44498	0.788875	1.57334	1.28353	1.30856	0.755112	1.04218	1.3092	0.972203	0.89098	0.463893	0.471292	0.754348	0.873902	0.676694	0.437751	1.17638	0.628389	0.767156	0.729165	0.356026	0.494155	0.44248	0.665581	1.56182	0.85248	0.741939	0.768638	1.38987	1.55618	0.665581	1.28488	0.58995	1.3032	1.27462	0.833147	0.481443	1.05192	1.32879	1.26458	1.02243	0.778151	0.290035	1.2737
IL26	0.526339	0.677607	0.459392	-0.0705811	0.812913	0.780317	0.738781	0.469822	0.706718	-0.387216	0.0253059	0.0899051	-0.455932	0.193125	-0.408935	1.11126	-0.0809219	-0.49485	-0.19382	0.652246	0.653213	-0.267606	0.614897	-0.318759	-0.09691	0.220108	0.499687	-0.142668	0.30963	0.155336	-0.0757207	-0.09691	0.819544	0.61066	-0.236572	-0.21467	-0.19382	0.152288	-0.136677	-0.173925	0.0293838	0.399674	-0.337242	-0.39794	-0.167491	0	-0.309804	0.675778	0.414973	-0.102373	-0.309804	-0.29243	2.30044	-0.09691	0.810233	-0.420216	-0.327902	0.671173	0.50515	0.283301
LENEP	0.944976	1.09968	1.46731	1.73078	1.30984	1.2615	1.51481	1.31702	0.803457	1.29403	1.74107	0.591065	1.47524	1.40976	0.575188	1.10072	1.55267	1.12385	1.76989	1.53033	0.462398	1.13194	1.63719	1.53084	0.55145	1.37985	1.08707	1.20737	1.55242	1.46938	1.17289	1.27462	1.44342	1.32098	1.64473	1.43409	1.81258	1.47914	0.775246	0.996074	1.50311	1.52892	1.07445	1.41996	0.588832	0.855519	0.594393	0.848805	1.07555	0.888179	1.52009	1.05192	1.20085	1.5753	2.13143	1.7348	1.1726	1.21219	1.29601	1.61331
CXORF48	1.02366	0.634477	0.385606	0.556303	1.22115	1.18213	0.991226	0.725912	1.46613	1.26316	1.2307	1.19618	0.605305	0.0530784	0.392697	0.886491	0.385606	0.561101	1.44358	0.61595	2.26021	0.948413	0.257679	1.10857	1.19535	0.718502	0.735599	0.576341	0.584331	0.659916	0.586587	1.08743	0.338456	0.696356	1.08171	0.652246	0.307496	0.710117	0.692847	1.08636	0.450249	1.09237	0.962369	0.875061	1.13672	2.13605	1.46165	1.29557	1.50934	0.733197	0.262451	1.01536	1.06819	0.636488	0.783904	1.00475	1.08955	0.245513	2.51553	1.05115
APR-2	1.33143	1.10483	1.16017	0.240549	0.80618	0.127105	1.33866	0.558709	0.905796	0.593286	0.763428	0.515874	0.429752	1.25139	0.230449	0.649335	0.274158	0.555094	1.2079	1.36342	1.3298	0.209515	0.481443	1.2971	1.36884	0.597695	0.632457	0.482874	1.05154	0.715167	0.630428	1.36717	0.665581	1.39358	1.29358	1.33826	0.716838	1.32305	0.382017	1.35315	1.24822	0.274158	1.14019	0.509203	1.0141	0.950365	0.472756	1.28668	1.38328	0.923762	1.08099	0.633468	0.477121	1.31681	1.56419	1.29048	0.557507	1.32797	1.44592	0.761176
ANGPT4	0.805501	1.32056	0.30963	0.921166	1.10823	0.692847	1.42029	0.519828	0.549003	0.736397	0.986324	1.21378	1.34439	0.990339	1.15776	1.00775	1.30856	0.49276	0.758155	1.499	0.841359	0.755875	0.690196	0.10721	1.33546	0.176091	1.37967	0.330414	1.04415	0.70927	0.445604	1.2052	1.43933	0.844477	0.264818	1.07115	0.532754	0.671173	0.762679	0.886491	0.357935	0.491362	0.318063	1.19479	0.682145	0.457882	-0.0268721	0.10721	0.634477	1.27462	1.30298	0.176091	1.35257	0.344392	0.950365	1.10072	1.42488	1.28126	0.372912	1.26245
GPR77	0.152288	0.482874	0.924796	-0.207608	0.748963	1.09795	0.103804	-0.200659	0.340444	1.14082	1.266	0.283301	0.942008	0.482874	0.0170333	0.25042	0.0211893	0.836324	1.01953	0.209515	-0.00877392	0.276462	0.423246	0.854913	1.32613	0.965202	0.292256	-0.187087	0.988113	0.0413927	0.621176	0.421604	0.889862	0.627366	0.52763	0.488551	0.799341	1.27921	0.655138	0.260071	0.209515	0.206826	-0.173925	0.895423	0.292256	0.322219	0.225309	0.584331	1.38739	0.222716	0.350248	1.09482	0.457882	0.290035	0.892095	1.26764	0.448706	0.557507	0.765669	-0.091515
ASCL3	0.680336	1.39515	1.15259	1.45545	1.25139	0.636488	0.653213	1.30471	0.80956	1.06893	0.352183	1.03302	1.13001	1.54357	1.12516	1.56301	1.39811	1.45834	1.62055	1.57841	1.34518	1.20385	1.51308	0.789581	0.904174	0.79796	0.711807	1.26576	1.24055	1.35774	0.91698	1.15987	0.869818	1.51812	1.36229	1.58309	1.4624	1.25237	0.607455	1.57795	1.53007	1.48756	0.580925	1.29336	0.599883	1.57148	0.783189	0.755112	1.38739	1.40019	1.10958	1.11793	1.20493	1.47056	1.57206	0.766413	0.736397	1.12548	1.16997	0.676694
MLXIPL	0.396199	0.898176	1.64885	0.485721	1.44122	0.814913	1.4609	1.68061	1.65658	1.45954	1.68984	1.83525	1.90358	0.846337	0.976808	1.0103	0.899273	1.36624	1.29863	1.42029	1.10072	1.32695	0.544068	1.10687	1.38525	1.14301	0.89487	0.685742	1.3249	1.02776	1.47451	1.41497	1.15564	1.59561	1.16554	1.20575	1.10037	1.33945	1.30233	1.52388	0.724276	1.47261	1.12057	0.657056	1.30276	0.52763	1.09864	0.844477	1.5244	1.08672	1.15503	1.35064	1.17898	1.75335	0.954725	1.66811	0.61066	1.23528	0.915927	0.69897
CCDC70	-0.124939	0.996074	0.819544	1.29248	1.10517	0.495544	0.672098	0.61066	1.28533	1.1959	1.04999	0.559907	0.488551	0.665581	1.03181	1.53983	0.928908	0.958564	0.643453	1.33566	0.401401	0.330414	0.4843	0.632457	1.25091	1.26505	1.01578	0.320146	0.307496	1.2737	1.22608	1.10209	0.0899051	1.24229	0.502427	1.34986	0.778151	1.00988	0.620136	1.25912	0.619093	1.09237	0.445604	1.07628	0.544068	1.31069	1.11294	1.16584	1.11327	0.528917	0.695482	0.320146	0.668386	0.794488	0.820201	0.872156	0.764923	0.445604	0.587711	1.13481
PRDM13	0.674861	-0.275724	1.39111	0.206826	1.13988	1.41963	1.01536	0.966142	1.45909	1.15473	1.5867	0.784617	0.587711	1.8799	1	1.14891	0.994757	0.561101	0.454845	0.123852	0.5302	1.0216	1.40875	1.09587	1.23578	0.917506	0.999131	0.83187	1.07298	1.74445	0.933993	1.7641	0.146128	1.56312	0.460898	0.828015	0.456366	1.00903	1.67897	0.367356	1.56277	0.120574	1.04493	0.675778	0.369216	0.456366	1.68485	0.00860017	0.794488	1.10449	0.303196	0.966611	0.780317	0.848189	0.569374	0.481443	0.891537	1.03222	1.33686	0.889862
C1ORF129	0.212188	0.842609	0.334454	1.09968	0.642465	1.05038	0.865696	0.699838	0.161368	0.773055	0.526339	-0.0409586	0.247973	0.247973	0.509203	0.178977	0	0.78746	0.866287	-0.387216	0.653213	-0.05061	1.00303	0.835691	-0.05061	-0.346787	-0.05061	-0.0809219	0.136721	0.953276	0.680336	0.507856	0.574031	0.553883	0.745855	0.462398	-0.327902	-0.431798	0.701568	0.638489	0.753583	0.480007	0.797268	-0.69897	0.587711	0.531479	0.940516	0.683047	0.292256	0.552668	0.488551	0.212188	0.285557	0.574031	1.27692	0.432969	-0.200659	0.773055	0.85309	-0.251812
IQCG	1.48785	1.32201	1.52388	1.17725	1.00518	1.4618	0.584331	1.81677	1.32899	1.39898	1.48101	1.57484	1.37767	1.20112	2.21696	2.05169	1.56467	1.31555	1.22141	1.56015	1.38274	1.88981	1.59999	1.65753	1.54183	1.38148	1.48728	1.36717	1.51268	1.92804	1.26435	1.85944	1.23528	1.47756	1.46687	1.62961	1.18752	1.39915	1.78419	1.63599	1.41631	1.90677	2.35982	2.02152	1.65944	1.68592	1.37291	1.56644	1.70621	1.80291	2.59251	1.7068	1.31069	1.48558	0.962843	1.82145	2.61701	1.24748	1.40993	1.45939
LOC51136	0.643453	0.923762	-0.0757207	-0.236572	-0.200659	-0.346787	-0.229148	0.985875	0.120574	0.967548	-0.173925	0.948902	0.650308	0.963316	0.854913	0.0334238	0.751279	0.0128372	0.20412	0.0934217	0.945961	0.94939	0.991226	1.21458	1.05154	0.257679	-0.39794	0.371068	-0.0132283	0.409933	0.071882	0.952308	0.0170333	-0.091515	1.04493	-0.142668	0.1959	-0.05061	1.18241	0.0530784	-0.0457575	0.365488	0.0791812	0.957607	0.0791812	0.689309	0.756636	1.27508	0.462398	-0.0655015	0.225309	1.07482	0.862131	0.378398	0.220108	0.939519	0.271842	0.170262	1.0983	0.187521
CHAT	1.43217	0.380211	1.37731	1.01494	0.326336	1.47741	1.16346	1.50461	0.657056	1.20763	1.12222	0.555094	1.39252	1.28601	1.01703	0.854913	1.43104	0.635484	0.672098	1.64523	1.6001	1.54765	1.18412	0.635484	1.39023	1.42292	1.43712	0.518514	1.41229	1.31681	1.35698	1.28285	0.613842	1.36698	0.382017	1.32552	1.58035	0.837588	1.18156	0.833784	1.21112	1.58286	0.338456	1.10992	1.06333	1.20656	0.945961	0.952308	1.4894	1.47159	0.665581	1.32818	1.33666	1.1758	1.05729	1.499	0.790988	1.21192	0.606381	1.28825
LOC646541	0.0211893	0.30963	0.260071	-0.267606	0.999565	0.146128	0.330414	0.64836	0.437751	0.271842	0.392697	0.0827854	1.086	1.05843	-0.167491	0.383815	0.322219	-0.124939	0.52763	0.1959	0.222716	0.382017	0.456366	0.296665	0.609594	0.232996	0.296665	0.44248	0.401401	0.133539	1.03503	0.895975	0.235528	0.212188	-0.0861861	1.02572	0.290035	0.0170333	0.624282	0.0211893	0.477121	0.571709	1.02119	0.80618	0.0293838	0.363612	0.117271	0.120574	1.05843	0.93044	0.463893	0.460898	1.06483	0.378398	0.669317	0.127105	0.255273	0.582063	0.526339	-0.119186
ZNF155	1.11261	1.19948	0.905796	0.31597	0.404834	0.848189	0.955207	-0.0409586	1.2383	0.775246	0.780317	0.287802	0.269513	0.434569	1.16732	1.00689	0.914343	1.22272	0.60206	0.558709	0.045323	1.03583	0.436163	0.460898	0.11059	0.985875	0.0413927	0.994757	0.394452	0.220108	0.594393	0.401401	0.547775	0.631444	0.434569	0.532754	1.11193	0.139879	0.565848	1.21352	0.4133	0.687529	0.585461	0.910091	1.233	1.1271	0.361728	0.701568	1.06633	0.912222	1.16732	0.399674	-0.0315171	1.07262	0.694605	1.24005	1.20167	0.625312	0.572872	0.445604
NPL	0.348305	0.222716	0.414973	0.389166	0.281033	0.269513	0.243038	1.29623	1.34596	0.416641	1.22866	-0.0757207	0.699838	1.08529	-0.0809219	0.418301	0.206826	0.346353	0.564666	1.23629	1.41614	0.164353	-0.0268721	1.42455	1.17926	0.120574	0.456366	-0.19382	0.488551	0.232996	0.262451	-0.221849	0.354108	0.0253059	0.394452	0.776701	0.860937	0.857332	0.404834	0.499687	1.52917	0.0681859	0.235528	0.075547	-0.124939	1.344	1.25091	0.238046	1.20358	-0.200659	0.477121	0.494155	-0.21467	-0.00436481	0.33646	1.40415	0.0128372	1.46509	0.437751	0.330414
C21ORF7	1.33686	1.52517	1.17085	1.80065	1.83455	1.42927	1.3516	0.85187	1.18808	1.12548	0.958564	0.877947	0.892095	1.1486	1.03782	1.20249	1.95337	1.13098	0.11059	1.1313	0.558709	2.06569	1.27577	1.23401	0.448706	1.18583	1.0162	0.850033	0.961421	1.13735	1.34596	1.21431	1.18696	1.08743	1.30211	1.36399	1.09934	1.27898	0.93044	1.18099	0.660865	1.16286	2.01204	1.47173	1.41464	1.5432	0.948413	1.12057	1.11594	1.32284	1.09132	1.45071	0.805501	1.21617	0.68842	1.16761	0.818885	1.17173	1.28959	1.68485
SUHW4	0.0128372	1.04805	1.09968	1.03423	0.605305	0.584331	1.15564	1.01536	1.04922	1.52114	0.217484	0.862131	0.935003	1.39305	0.271842	0.570543	1.20656	1.10992	0.845718	1.07482	1.03141	0.0569049	1.26435	1.2398	1.15806	1.09899	0.465383	0.466868	1.14364	1.05956	1.36605	1.18639	0.813581	1.30363	0.824776	0.640481	-0.187087	1.30963	1.08458	0.830589	1.40807	1.13925	1.14364	0.423246	1.10106	0.0413927	0.418301	0.608526	0.416641	-0.19382	1.13893	1.1959	0.956168	1.30963	1.34713	0.964731	1.40002	0.82866	0.851258	0.994757
RIPK4	2.321	2.38055	1.91824	1.51295	1.65973	2.21002	0.866287	2.18817	1.26811	2.10384	1.76997	1.45133	1.84522	0.682145	1.94709	1.6081	2.02869	1.82562	2.31211	2.01544	0.705008	1.2052	2.62256	2.66332	1.88992	1.78369	2.38353	2.33562	1.57933	1.69984	0.854913	0.919078	2.36461	1.53794	1.41128	2.49177	2.27154	1.99105	1.17782	2.07137	1.64246	2.27937	0.672098	1.42684	1.05805	2.07089	2.50493	2.56896	2.36795	0.63749	0.936514	1.24378	0.600973	1.9922	1.85272	2.08736	0.917506	2.36845	2.18727	1.79595
KLHL3	1.5293	1.07555	1.49927	1.23477	0.727541	0.481443	1.58569	1.89586	1.1529	0.705008	1.61055	0.815578	0.917506	0.736397	1.64395	1.8595	0.699838	1.97946	1.29403	1.45545	1.22583	1.19396	0.755112	0.944976	1.45894	1.11025	1.26316	1.26741	1.92163	0.829304	1.48926	1.38561	1.21985	1.83436	1.32919	1.59229	1.45682	1.75648	0.96426	1.76163	1.00346	0.778151	0.727541	1.50705	1.33082	1.64038	1.13609	1.59671	1.56384	0.658011	1.40739	1.65031	1.24229	1.44623	1.56502	1.34143	1.49164	0.876795	1.62159	1.37162
DCAKD	0.30103	0.982271	0.915927	0.913284	0.893762	0.782473	-0.0409586	0.603144	0.376577	0.161368	0.292256	0.372912	0.670246	0.0211893	-0.309804	0.810233	-0.327902	-0.21467	1.06446	0.469822	-0.0809219	-0.0705811	0.217484	0.206826	0.209515	0.127105	-0.366532	0.184691	0.679428	0.501059	0.326336	0.281033	0.238046	0.459392	0.887054	0.826075	-0.154902	0.895975	0.911158	1.0086	0.38739	0.593286	0.429752	0.155336	-0.259637	-0.200659	0.0863598	0.245513	0.158362	-0.366532	0.739572	-0.102373	0.136721	0.70757	0.260071	-0.00877392	-0.0809219	-0.21467	1.13001	0.683947
ANKRD2	0.552668	1.39463	1.58995	1.911	0.503791	0.893207	0.522444	0.326336	1.68511	1.20412	0.480007	0.789581	0.38739	0.818226	0.459392	0.965202	0.318063	1.24428	1.43505	0.984527	0.285557	0.403121	0.61595	0.541579	0.737193	1.24551	0.507856	0.372912	0.643453	0.247973	0.705008	0.670246	0.576341	0.775974	0.531479	0.913814	0.877371	0.595496	0.230449	0.600973	0.773786	0.700704	0.363612	0.437751	0.326336	0.704151	0.679428	0.753583	0.726727	0.547775	0.623249	0.498311	0.489958	0.472756	1.68664	0.658011	0.40654	0.670246	1.26126	0.642465
KIAA1411	0.58995	1.0249	0.271842	0.0681859	0.557507	0.209515	-0.180456	0.155336	-0.180456	1.02694	0.117271	0.738781	0.664642	0.805501	-0.0457575	0.956168	0.414973	-0.30103	0.376577	0.599883	0.564666	-0.39794	-0.0222764	-0.244125	0.741939	0.503791	0.399674	0.55145	0.113943	1.01368	0.25042	0.264818	0.146128	0.352183	0.0934217	-0.21467	0.758912	0.778151	1.07151	-0.00436481	0.103804	0.00432137	0.746634	0.60206	0.0863598	0.235528	0.833784	-0.0655015	0.324282	0.866287	0.0530784	0.10721	0.10721	1.00689	0.167317	0.924796	0.380211	0.064458	1.00732	0.152288
C2ORF31	1.68753	1.96802	1.88638	1.78383	1.11893	1.56348	1.14395	2.46755	1.36305	1.93039	2.14205	1.77597	1.75952	1.35372	1.41447	1.3442	0.604226	2.32513	2.10823	2.02865	2.11863	1.22298	1.49762	1.66351	1.64982	1.46716	1.71458	1.69028	1.05652	0.937518	1.09691	1.34616	1.53555	2.29248	2.02698	1.99712	2.11869	1.84404	1.26764	1.42275	1.31576	1.7759	1.48058	1.39637	1.34694	1.41581	1.66969	1.73448	1.74858	1.38471	1.78554	1.51335	1.39915	2.07784	2.1303	1.39585	1.53301	1.38417	1.82315	1.66238
MXD3	1.0306	1.2878	1.51574	1.31911	1.71366	0.996074	1.44373	0.685742	1.56122	1.37803	0.993436	1.4504	1.64777	1.58872	0.844477	1.21245	1.71079	1.2235	1.07298	1.1383	0.800029	0.800029	1.70372	1.00043	1.75989	1.80794	1.04999	1.39794	1.8947	0.91169	1.05231	1.37346	1.20871	1.0799	1.67605	0.877947	1.32695	1.77444	0.894316	1.18639	1.12581	1.11025	1.67697	0.754348	0.800029	1.04376	1.00945	0.990339	1.8057	1.51667	2.1321	1.73902	1.04844	1.11394	1.16346	1.31091	1.61342	1.48144	0.802089	0.900367
ZNHIT4	1.06183	0.936514	1.63134	0.227887	0.5302	1.07262	1.06183	0.744293	0.860937	1.041	1.51055	0.713491	0.776701	0.921166	1.07773	1.62624	0.619093	1.43136	0.962843	0.776701	0.448706	1.19838	0.392697	1.07041	1.26905	0.552668	0.833784	1.19535	1.61437	0.778151	0.921686	0.737193	1.84323	1.18412	1.54506	0.775974	1.57264	1.16376	0.804139	1.08458	1.46657	1.40329	0.677607	0.715167	0.491362	0.879096	0.791691	0.895423	0.389166	1.54481	0.840106	0.680336	1.20222	0.891537	0.671173	0.669317	1.08063	1.5977	1.56348	0.671173
HDHD3	1.13386	1.26881	1.43996	0.892095	1.37254	1.5244	1.29137	2.08679	1.613	1.53097	2.23792	1.38525	1.83822	0.7348	1.43088	0.765669	0.466868	2.0825	1.64904	2.00359	1.36267	0.588832	1.5437	0.522444	1.63789	1.57089	1.29137	1.34301	1.3969	1.26435	1.3969	1.34616	1.745	1.471	1.39287	1.256	1.56301	0.783189	1.14239	1.04297	1.42029	0.485721	0.624282	1.30685	1.0162	0.710117	1.72493	1.65648	1.03423	1.613	0.867467	0.771587	1.62128	1.36977	1.94295	1.80916	1.38899	1.2413	1.54444	1.42602
TM7SF4	1.41397	0.763428	1.46716	1.36717	0.303196	1.27138	0.127105	0.985875	1.29403	1.49052	1.16879	1.3753	1.2033	0.635484	1.34341	1.617	0.873902	0.710117	1.29092	1.30103	0.423246	1.43361	0.789581	1.30211	1.34596	1.38453	1.12808	0.641474	1.61013	1.45561	1.27346	1.00903	1.19368	0.837588	0.882525	1.35122	1.32035	1.26387	1.19756	0.804139	0.693727	1.04999	0.897627	1.4624	1.19783	1.21564	0.810233	0.726727	1.48501	1.30835	1.18184	1.25527	0.68842	1.26435	1.86183	1.37694	1.07004	0.854306	0.850033	1.17609
GDAP1	1.45909	0.348305	1.15473	1.33264	1.63337	0.862131	1.40824	1.31597	1.63799	0.403121	1.40841	1.48813	1.48173	0.522444	1.25455	0.833784	1.4143	1.26764	0.630428	1.48073	0.692847	1.576	0.584331	1.84092	1.51068	0.50515	1.54419	1.65437	1.39076	1.68511	1.4979	1.22401	1.25431	1.4633	1.61448	1.38899	0.925828	1.60746	1.57241	1.37218	0.401401	0.238046	1.3075	0.697229	1.29667	1.65533	1.17143	1.70131	0.466868	1.16643	1.24005	1.22712	1.61721	1.17551	1.67117	1.4915	1.19257	1.55727	1.57484	1.36399
PACAP	0.579784	0.642465	1.40329	0.777427	0.532754	0.814248	2.86833	0.389166	0.691081	0.804821	0.703291	0.640481	0.767898	0.7348	0.399674	0.873902	0.444045	0.52763	0.90309	0.692847	0.326336	0.488551	0.698101	0.756636	0.739572	0.491362	0.525045	0.303196	3.01439	0.647383	0.553883	0.525045	0.645422	0.926342	1.00775	0.640481	0.650308	0.790988	0.569374	0.950365	3.47269	0.472756	0.357935	0.474216	0.571709	0.895423	0.338456	0.652246	0.737193	0.654177	0.640481	0.627366	0.678518	0.799341	0.865104	0.553883	0.338456	0.567026	0.74351	0.598791
ULBP2	1.46434	1.42813	0.784617	1.61847	0.666518	0.822822	0.887054	1.20575	0.782473	2.25052	2.06815	1.58422	1.60076	0.914872	2.0182	1.05115	1.8739	1.5824	0.671173	2.01237	0.611723	1.40654	1.12905	0.687529	0.752816	1.54133	1.22994	1.48387	0.790285	1.55582	1.26293	0.750508	1.3881	1.32879	0.634477	1.66783	1.4612	1.3681	1.50243	0.869818	0.650308	1.33766	1.63719	2.1181	1.77597	1.37894	1.11528	0.591065	0.646404	1.26741	1.86094	1.77916	1.45864	1.43457	1.54357	0.755875	1.8327	1.17026	1.44871	1.46464
DEF6	0.561101	0.608526	1.03019	0.564666	1.31323	1.43616	1.88167	1.43056	0.744293	0.532754	1.14644	1.60412	1.16017	2.11126	0.432969	0.990339	0.38739	1.38846	0.515874	1.49803	1.77151	0.928908	1.23654	1.46195	0.952792	1.78204	0.612784	0.55145	1.87535	1.63809	1.18949	0.875061	0.456366	1.44326	0.996949	0.684845	0.828015	1.54245	0.790285	1.32818	1.85248	0.603144	0.645422	0.625312	0.865104	0.577492	0.683047	0.975432	0.960471	1.58138	0.572872	0.696356	1.75914	1.45849	0.663701	1.34655	1.10449	0.658011	0.95376	0.729974
UGT1A8 /// UGT1A9	0.374748	0.897627	1.44824	1.00432	1.28533	1.80909	0.342423	1.89126	1.19756	1.46389	1.43696	1.2159	1.19479	1.45515	0.758155	1.40637	1.18837	2.17978	0.808211	1.10687	1.10449	1.09307	1.22891	1.28443	1.42374	1.14799	1.28171	1.15137	0.807535	0.155336	1.14426	0.924796	1.22063	1.24969	0.752048	1.086	1.40756	1.40756	0.943495	1.22141	0.555094	1.36698	0.271842	1.17289	0.958086	0.480007	0.332438	1.30514	1.19201	0.731589	1.23401	1.05843	0.281033	0.979093	0.521138	0.665581	1.27989	0.761928	1.12352	1.07555
FRS2	0.710963	0.528917	-0.0132283	0.281033	0.61066	0.187521	0.133539	0.847573	0.0211893	0.0530784	0.133539	0.344392	0.665581	0.113943	1.16316	0.729974	0.850646	-0.00877392	0.669317	0.933487	0.371068	0.0827854	0.30103	0.045323	1.0249	0.0293838	0.451786	0.298853	0.403121	1.0976	0.0334238	0.460898	-0.0177288	0.307496	0.522444	0.5302	0.744293	0.252853	-0.0705811	0.694605	0.477121	0.123852	0.41162	0.808211	0.354108	0.0606978	0.531479	0.247973	0.752816	0.552668	0.369216	0.896526	0.0530784	0.311754	0.521138	1.50215	0.61066	0.544068	0.338456	0.247973
FGF14	0.536558	0.338456	0.332438	0.380211	0.424882	0.776701	0.307496	0.585461	0.348305	0.735599	0.4133	0.571709	0.522444	0.318063	-0.0268721	0.793092	0.113943	0.439333	0.267172	0.608526	0.11059	0.255273	0.846955	0.380211	0.482874	0.503791	1.47246	0.829947	0.639486	0.582063	0.243038	0.214844	0.155336	1.54962	0.181844	0.638489	0.70757	0.469822	0.155336	1.34143	0.623249	0.38739	0.130334	0.298853	0.472756	1.27021	0.423246	2.37086	0.133539	0.777427	0.468347	0.334454	0.181844	0.436163	0.143015	0.136721	0.0899051	0.363612	0.658965	0.123852
FGF22	0.959041	0.711807	1.18949	1.4178	0.801404	1.0835	1.49499	1.26316	1.26717	0.668386	0.742725	0.70927	1.51415	1.5824	0.264818	0.561101	1.29314	0.971276	1.38792	1.38703	1.62665	1.35411	1.04218	0.547775	1.39199	1.43008	1.51428	0.965202	1.24452	1.68699	0.788875	0.4133	1.06483	1.31048	0.448706	0.49693	1.4128	1.49996	1.19312	1.32346	1.67624	1.13386	1.18865	0.680336	0.594393	1.00775	1.25139	1.28488	1.72916	1.4183	1.09656	1.26788	0.806858	1.03019	1.7602	1.30621	1.07041	1.13418	0.878522	1.21801
